Time (s),altitude (m)
2.577670552,702.732528824357000
2.600158668,715.095720800876000
2.603332844,716.847977230965000
2.60650702,718.602003510061000
2.609681197,720.357792375101000
2.61602955,723.874615604853000
2.622377902,727.398389384699000
2.628726255,730.929050964411000
2.643929607,739.412100630673000
2.659132959,747.933425961191000
2.674336311,756.492081870323000
2.689539663,765.087158082848000
2.716798002,780.585742100459000
2.74405634,796.193266072559000
2.764364965,807.889227458004000
2.784673589,819.640552079538000
2.804982214,831.445041710964000
2.825290838,843.300490374823000
2.851769932,858.830913158424000
2.878249025,874.439282061685000
2.899655825,887.111336034314000
2.921062626,899.828525472509000
2.924926456,902.128534889723000
2.928790286,904.429930637935000
2.932654116,906.732709765705000
2.940381777,911.342402627218000
2.948109437,915.957592850385000
2.955837098,920.578258304299000
2.98276746,936.723244331731000
3.000920958,947.643341039193000
3.019074455,958.592803914148000
3.028128987,964.065024655151000
3.03718352,969.544360558252000
3.046238052,975.030693978718000
3.057653452,981.957283901753000
3.069068853,988.894531793510000
3.080484254,995.842180451513000
3.101048771,1008.383696118890000
3.121613289,1020.956673749780000
3.142177807,1033.559477531740000
3.162742324,1046.190605934390000
3.183306842,1058.848634245850000
3.203871359,1071.532170242650000
3.224435877,1084.239828503760000
3.250780199,1100.552089741030000
3.277124521,1116.898728966480000
3.303468844,1133.276770007750000
3.30686601,1135.390885784970000
3.310263176,1137.505460792370000
3.313660342,1139.620486176670000
3.320454675,1143.851836332780000
3.327249007,1148.084865758580000
3.33404334,1152.319497664130000
3.361867383,1169.675107944450000
3.389691427,1187.050367525610000
3.391706316,1188.309349179890000
3.393721206,1189.568409527690000
3.395736095,1190.827545567750000
3.399765873,1193.346036236190000
3.403795651,1195.864812374050000
3.40782543,1198.383865076860000
3.426566323,1210.102180698530000
3.441901439,1219.694604733810000
3.44357276,1220.740243189220000
3.445244082,1221.785915273530000
3.446915403,1222.831620463190000
3.450258046,1224.923129001840000
3.453600688,1227.014767808010000
3.456943331,1229.106535945200000
3.476209464,1241.165392858510000
3.495475597,1253.228327068380000
3.51474173,1265.295175920910000
3.543976721,1283.612924181710000
3.548438525,1286.409275036890000
3.552900328,1289.205805609370000
3.557362131,1292.002510202010000
3.566285738,1297.596408082570000
3.575209344,1303.190923196920000
3.584132951,1308.786005947140000
3.60840702,1324.008286699390000
3.61225433,1326.421219493290000
3.616101641,1328.834208444570000
3.619948951,1331.247241582660000
3.627643572,1336.073369341970000
3.635338193,1340.899505607460000
3.643032814,1345.725544315790000
3.664414108,1359.133954550480000
3.685795402,1372.538233834750000
3.68748308,1373.596081327430000
3.689170758,1374.653889720800000
3.690858437,1375.711657368280000
3.694233794,1377.826981908860000
3.69760915,1379.942133811770000
3.727505166,1398.668955754900000
3.757401181,1417.380210025160000
3.782102346,1432.827303282320000
3.80680351,1448.261678226500000
3.824873265,1459.543881914610000
3.838352768,1467.955023312270000
3.851832271,1476.361571794840000
3.86109273,1482.134106724710000
3.870353188,1487.904211545190000
3.879613647,1493.671746705630000
3.894246703,1502.779741227060000
3.905343407,1509.681808651200000
3.916440111,1516.579495756120000
3.927536816,1523.472612329480000
3.94380635,1533.570328490900000
3.960075884,1543.657305739010000
3.976345418,1553.733032830340000
3.980241136,1556.143960564140000
3.984136854,1558.554210256060000
3.988032572,1560.963775961770000
3.995824008,1565.780843074190000
3.995963104,1565.866813688150000
3.9961022,1565.952783417290000
3.996241296,1566.038752261480000
3.996380392,1566.124720220600000
3.996519488,1566.210687294550000
3.99679768,1566.382619671760000
3.997075872,1566.554548029340000
3.997530375,1566.835430723820000
3.997984877,1567.116301093330000
3.99843938,1567.397159138770000
4.002621905,1569.981154531370000
4.00680443,1572.564107067420000
4.010986955,1575.146017467740000
4.042411377,1594.511365275850000
4.073835798,1613.818230206690000
4.10526022,1633.066915873520000
4.122408231,1643.546304671180000
4.139556241,1654.008508084940000
4.156704252,1664.453575006400000
4.188673279,1683.880739964330000
4.220642306,1703.248828830100000
4.252611332,1722.558155326960000
4.259890925,1726.946850158150000
4.267170518,1731.332518039460000
4.27445011,1735.715162647140000
4.293627614,1747.246447279190000
4.312805118,1758.756840753430000
4.331982622,1770.246408023820000
4.338467468,1774.126887444620000
4.344952315,1778.004995312830000
4.351437162,1781.880734072990000
4.368401784,1792.008638618040000
4.385366405,1802.120389741410000
4.402331027,1812.216030512350000
4.446069298,1838.170629890850000
4.48980757,1864.019168643440000
4.533545841,1889.762364836460000
4.577284113,1915.400950787610000
4.60027478,1928.835975990230000
4.623265448,1942.242405977030000
