Time (s),Acceleration m/s^2
29.98983939,10.2761946
30.17834464,10.25516762
30.3668499,10.23471294
30.55535515,10.21475846
30.7438604,10.19533407
30.77348878,10.19232412
30.80311717,10.18932523
30.83274555,10.18633723
30.86237393,10.18335996
30.89200232,10.1803933
30.95125908,10.17449844
31.01051585,10.16864339
31.06977262,10.16282681
31.12902938,10.15704748
31.26132448,10.14427799
31.39361958,10.13169035
31.52591468,10.11926329
31.65820978,10.10700197
31.83584638,10.09078246
32.01348299,10.07484283
32.1911196,10.05917934
32.3687562,10.04379844
32.54639281,10.02869902
32.72402942,10.01393122
32.90166602,9.999468583
33.09915627,9.983719894
33.29664652,9.968304097
33.49413677,9.953217922
33.69162702,9.938429951
33.88911727,9.923932246
34.11222202,9.90785447
34.33532677,9.892074002
34.55843152,9.876544732
34.78153627,9.861237771
35.00464102,9.846122085
35.28407305,9.827415013
35.56350508,9.808929821
35.84293711,9.79062735
36.12236914,9.77249897
36.40180116,9.754552874
36.68123319,9.736815931
36.96066522,9.719359977
37.24009725,9.702285708
37.56815562,9.682960709
37.896214,9.664794776
38.22427237,9.648368766
38.55233075,9.63449291
38.88038912,9.624245354
39.2084475,9.618984915
39.38289912,9.618753403
39.39047619,9.618789161
39.40004307,9.618843672
39.40960994,9.618904548
39.42874369,9.61903844
39.44787745,9.619198367
39.4670112,9.619384651
39.63847375,9.622280952
39.8099363,9.627533354
39.98139884,9.635328827
40.15286139,9.645802437
40.39672357,9.665422364
40.64058574,9.690414731
40.88444791,9.720127006
40.89047619,9.720912119
40.89271796,86.33878094
40.89495972,85.49595267
40.89944326,83.83864634
40.90392679,82.22884594
40.90841033,80.66475675
40.93337817,72.71811284
40.95834601,65.8850983
40.98331386,59.96823393
41.0082817,54.81141432
41.04631121,48.14298977
41.08434072,42.61947715
41.12237023,37.99521614
41.16039974,34.0860584
41.19842925,30.75321611
41.26159799,26.21387503
41.32476673,22.62366985
41.38793547,19.73813394
41.45110421,17.38826502
41.51427295,15.45233613
41.57744169,13.84103546
41.68114266,11.73143647
41.78484363,10.11338132
41.88854461,8.848363318
41.99224558,7.841720733
42.09594656,7.026903465
42.19964753,6.356192228
42.37576773,5.453835779
42.55188794,4.755407481
42.72800814,4.191340689
42.90412835,3.719310658
43.08024855,3.313415654
43.25636876,2.957713694
43.55618202,2.441119924
43.85599529,2.013145099
44.15580855,1.657222681
44.45562182,1.361789231
44.75543508,1.117438252
45.05524834,0.916048556
45.3821678,0.737113839
45.70908726,0.592959608
46.03600671,0.476996697
46.36292617,0.383789263
46.68984562,0.308910126
47.09807347,0.235802829
47.50630133,0.180273462
47.91452918,0.138153077
48.32275703,0.106326558
48.75420423,0.081116204
49.18565143,0.062775107
49.61709863,0.04967985
50.41127482,0.035591862
51.205451,0.029133893
51.99962718,0.026692483
52.79380336,0.025838485
53.22868629,0.025644517
53.66356921,0.025567944
54.09845214,0.02553879
54.53329323,0.025526813
54.96813431,0.025522807
55.4029754,0.025522359
56.27152275,0.025522145
57.14007009,0.025516672
58.00861743,0.025506015
58.87633834,0.025492043
59.74405925,0.025476333
60.61178015,0.025459806
65.13492754,0.025368549
69.65807492,0.025274701
74.1812223,0.02518208
74.31642915,0.0251794
