Mach,CD Power-On
12.06,0.140983577
12.07,0.140973119
12.08,0.140962677
12.09,0.140952268
12.1,0.140941865
12.11,0.140931497
12.12,0.140921133
12.13,0.140910795
12.14,0.140900481
12.15,0.140890192
12.16,0.140879908
12.17,0.140869659
12.18,0.140859424
12.19,0.140849205
12.2,0.140839009
12.21,0.140828829
12.22,0.140818673
12.23,0.140808531
12.24,0.140798414
12.25,0.140788311
12.26,0.140778233
12.27,0.140768179
12.28,0.140758129
12.29,0.140748104
12.3,0.140738102
12.31,0.140728116
12.32,0.140718153
12.33,0.140708205
12.34,0.14069828
12.35,0.14068838
12.36,0.140678484
12.37,0.140668612
12.38,0.140658763
12.39,0.140648929
12.4,0.140639119
12.41,0.140629322
12.42,0.14061954
12.43,0.14060978
12.44,0.140600046
12.45,0.140590324
12.46,0.140580616
12.47,0.140570932
12.48,0.140561261
12.49,0.140551604
12.5,0.14054198
12.51,0.140532361
12.52,0.140522765
12.53,0.140513192
12.54,0.140503633
12.55,0.140494095
12.56,0.140484563
12.57,0.140475064
12.58,0.140465568
12.59,0.140456105
12.6,0.140446645
12.61,0.140437209
12.62,0.140427795
12.63,0.140418395
12.64,0.140409008
12.65,0.140399644
12.66,0.140390303
12.67,0.140380964
12.68,0.140371649
12.69,0.140362357
12.7,0.140353068
12.71,0.140343812
12.72,0.140334568
12.73,0.140325337
12.74,0.140316129
12.75,0.140306933
12.76,0.140297751
12.77,0.140288591
12.78,0.140279454
12.79,0.140270319
12.8,0.140261217
12.81,0.140252117
12.82,0.140243041
12.83,0.140233977
12.84,0.140224935
12.85,0.140215905
12.86,0.140206897
12.87,0.140197904
12.88,0.14018892
12.89,0.14017996
12.9,0.140171022
12.91,0.140162087
12.92,0.140153173
12.93,0.140144272
12.94,0.140135393
12.95,0.140126526
12.96,0.140117671
12.97,0.140108838
12.98,0.140100027
12.99,0.140091229
13,0.140082442
13.01,0.140073667
13.02,0.140064914
13.03,0.140056174
13.04,0.140047455
13.05,0.140038748
13.06,0.140030052
13.07,0.140021379
13.08,0.140012717
13.09,0.140004077
13.1,0.139995448
13.11,0.139986831
13.12,0.139978226
13.13,0.139969643
13.14,0.13996107
13.15,0.139952521
13.16,0.139943982
13.17,0.139935465
13.18,0.139926959
13.19,0.139918464
13.2,0.139909982
13.21,0.13990152
13.22,0.13989307
13.23,0.139884642
13.24,0.139876224
13.25,0.139867817
13.26,0.139859433
13.27,0.139851058
13.28,0.139842696
13.29,0.139834355
13.3,0.139826025
13.31,0.139817716
13.32,0.139809408
13.33,0.139801122
13.34,0.139792845
13.35,0.139784591
13.36,0.139776358
13.37,0.139768125
13.38,0.139759912
13.39,0.139751712
13.4,0.139743522
13.41,0.139735353
13.42,0.139727195
13.43,0.139719057
13.44,0.139710931
13.45,0.139702815
13.46,0.13969472
13.47,0.139686625
13.48,0.139678552
13.49,0.139670499
13.5,0.139662457
13.51,0.139654425
13.52,0.139646403
13.53,0.139638404
13.54,0.139630414
13.55,0.139622434
13.56,0.139614475
13.57,0.139606527
13.58,0.139598599
13.59,0.139590671
13.6,0.139582764
13.61,0.139574878
13.62,0.139566991
13.63,0.139559125
13.64,0.139551279
13.65,0.139543434
13.66,0.139535608
13.67,0.139527794
13.68,0.139519998
13.69,0.139512215
13.7,0.13950444
13.71,0.139496675
13.72,0.139488932
13.73,0.139481198
13.74,0.139473474
13.75,0.139465769
13.76,0.139458076
13.77,0.139450391
13.78,0.139442729
13.79,0.139435065
13.8,0.13942743
13.81,0.139419797
13.82,0.139412183
13.83,0.139404579
13.84,0.139396984
13.85,0.139389409
13.86,0.139381844
13.87,0.139374289
13.88,0.139366745
13.89,0.139359219
13.9,0.139351704
13.91,0.139344207
13.92,0.139336711
13.93,0.139329234
13.94,0.139321778
13.95,0.13931432
13.96,0.139306872
13.97,0.139299454
13.98,0.139292035
